idx,prompt,ground_truth,model_response_raw,model_parsed_json,json_valid,per_key_scores,keys_matched
1,我需要一段快乐的背景音乐。,"{""key"": ""C Major"", ""mode"": ""major"", ""tempo"": ""120bpm"", ""instruments"": ""ukulele, acoustic guitar, light percussion"", ""genre"": ""acoustic folk"", ""feel"": ""bright, cheerful, upbeat""}","{'key': 'C Major', 'mode': 'major', 'tempo': '120bpm', 'instruments': 'ukulele, acoustic guitar, light percussion', 'genre': 'acoustic folk', 'feel': 'bright, cheerful, upbeat'}","{""key"": ""C Major"", ""mode"": ""major"", ""tempo"": ""120bpm"", ""instruments"": ""ukulele, acoustic guitar, light percussion"", ""genre"": ""acoustic folk"", ""feel"": ""bright, cheerful, upbeat""}",1,"{'key': 1.0, 'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
2,来点悲伤的音乐。,"{""key"": ""A minor"", ""mode"": ""minor"", ""tempo"": ""65bpm"", ""instruments"": ""solo piano, slow strings"", ""genre"": ""cinematic"", ""feel"": ""somber, melancholic, reflective""}","{'key': 'A minor', 'mode': 'minor', 'tempo': '65bpm', 'instruments': 'solo piano, slow strings', 'genre': 'cinematic', 'feel': 'somber, melancholic, reflective'}","{""key"": ""A minor"", ""mode"": ""minor"", ""tempo"": ""65bpm"", ""instruments"": ""solo piano, slow strings"", ""genre"": ""cinematic"", ""feel"": ""somber, melancholic, reflective""}",1,"{'key': 1.0, 'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
3,我感觉很平静，很放松。,"{""mode"": ""major"", ""tempo"": ""60bpm"", ""instruments"": ""ambient synth pad, gentle electric piano"", ""genre"": ""ambient"", ""feel"": ""calm, serene, meditative""}","{'key': 'E Major', 'mode': 'major', 'tempo': '60bpm', 'instruments': 'ambient synth pad, gentle piano, light snaps', 'genre': 'ambient', 'feel': 'calm, peaceful, relaxed'}","{""key"": ""E Major"", ""mode"": ""major"", ""tempo"": ""60bpm"", ""instruments"": ""ambient synth pad, gentle piano, light snaps"", ""genre"": ""ambient"", ""feel"": ""calm, peaceful, relaxed""}",1,"{'mode': 1.0, 'tempo': 1.0, 'instruments': 0.6589285714285714, 'genre': 1.0, 'feel': 0.2804255319148936}",0
4,愤怒的，非常有力的。,"{""key"": ""D minor"", ""mode"": ""minor"", ""tempo"": ""140bpm"", ""instruments"": ""distorted electric guitar, heavy drums, orchestral hits"", ""genre"": ""rock"", ""feel"": ""angry, intense, powerful""}","{'key': 'D minor', 'mode': 'minor', 'tempo': '140bpm', 'instruments': 'distorted electric guitar, heavy drums, orchestral hits', 'genre': 'rock', 'feel': 'angry, intense, powerful'}","{""key"": ""D minor"", ""mode"": ""minor"", ""tempo"": ""140bpm"", ""instruments"": ""distorted electric guitar, heavy drums, orchestral hits"", ""genre"": ""rock"", ""feel"": ""angry, intense, powerful""}",1,"{'key': 1.0, 'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
5,孤独的，空旷的。,"{""mode"": ""minor"", ""tempo"": ""55bpm"", ""instruments"": ""solo cello, distant piano, light wind sound"", ""genre"": ""ambient"", ""feel"": ""lonely, empty, desolate""}","{'key': 'F minor', 'mode': 'minor', 'tempo': '55bpm', 'instruments': 'solo cello, distant piano, light wind sound', 'genre': 'ambient', 'feel': 'lonely, empty, desolate'}","{""key"": ""F minor"", ""mode"": ""minor"", ""tempo"": ""55bpm"", ""instruments"": ""solo cello, distant piano, light wind sound"", ""genre"": ""ambient"", ""feel"": ""lonely, empty, desolate""}",1,"{'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
6,紧张但又有点暧昧的感觉。,"{""mode"": [""phrygian"", ""minor""], ""tempo"": ""120bpm"", ""instruments"": ""pizzicato strings, low synth bass, subtle high-hat"", ""genre"": ""suspense"", ""feel"": ""tense, ambiguous, seductive""}","{'key': 'D minor', 'mode': 'minor', 'tempo': '120bpm', 'instruments': 'pizzicato strings, low synth bass, subtle high-hat', 'genre': 'suspense', 'feel': 'tense, ambiguous, seductive'}","{""key"": ""D minor"", ""mode"": ""minor"", ""tempo"": ""120bpm"", ""instruments"": ""pizzicato strings, low synth bass, subtle high-hat"", ""genre"": ""suspense"", ""feel"": ""tense, ambiguous, seductive""}",1,"{'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
7,悲伤，但又带着一丝希望。,"{""mode"": ""minor"", ""tempo"": ""75bpm"", ""instruments"": ""piano melody, underlying string pad, flute counter-melody"", ""genre"": ""cinematic"", ""feel"": ""melancholic but hopeful, bittersweet""}","{'key': 'G minor', 'mode': 'minor', 'tempo': '75bpm', 'instruments': 'piano melody, underlying string pad, flute counter-melody', 'genre': 'cinematic', 'feel': 'melancholic but hopeful, bittersweet'}","{""key"": ""G minor"", ""mode"": ""minor"", ""tempo"": ""75bpm"", ""instruments"": ""piano melody, underlying string pad, flute counter-melody"", ""genre"": ""cinematic"", ""feel"": ""melancholic but hopeful, bittersweet""}",1,"{'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
8,平静中带着一点点不安。,"{""mode"": ""minor"", ""tempo"": ""60bpm"", ""instruments"": ""ambient pad, single piano notes, distant dissonant chime"", ""genre"": ""ambient"", ""feel"": ""calm but unsettling, uneasy""}","{'key': 'E minor', 'mode': 'minor', 'tempo': '60bpm', 'instruments': 'ambient pad, single piano notes, distant dissonant chime', 'genre': 'ambient', 'feel': 'calm but unsettling, uneasy'}","{""key"": ""E minor"", ""mode"": ""minor"", ""tempo"": ""60bpm"", ""instruments"": ""ambient pad, single piano notes, distant dissonant chime"", ""genre"": ""ambient"", ""feel"": ""calm but unsettling, uneasy""}",1,"{'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
9,怀旧的，但快乐的童年回忆。,"{""key"": ""F Major"", ""mode"": ""major"", ""tempo"": ""100bpm"", ""instruments"": ""music box, glockenspiel, light acoustic guitar"", ""genre"": ""acoustic"", ""feel"": ""nostalgic, happy, innocent""}","{'key': 'F Major', 'mode': 'major', 'tempo': '100bpm', 'instruments': 'music box, glockenspiel, light acoustic guitar', 'genre': 'acoustic', 'feel': 'nostalgic, happy, innocent'}","{""key"": ""F Major"", ""mode"": ""major"", ""tempo"": ""100bpm"", ""instruments"": ""music box, glockenspiel, light acoustic guitar"", ""genre"": ""acoustic"", ""feel"": ""nostalgic, happy, innocent""}",1,"{'key': 1.0, 'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
10,早晨起床冲咖啡的Vlog。,"{""mode"": ""major"", ""tempo"": ""90bpm"", ""instruments"": ""acoustic guitar, light piano, snaps, soft shakers"", ""genre"": ""acoustic pop"", ""feel"": ""calm, positive, morning, gentle""}","{'key': 'F Major', 'mode': 'major', 'tempo': '90bpm', 'instruments': 'electric piano, upright bass, light snaps, coffee cup sound', 'genre': 'jazz', 'feel': 'energetic, bright, positive, cozy'}","{""key"": ""F Major"", ""mode"": ""major"", ""tempo"": ""90bpm"", ""instruments"": ""electric piano, upright bass, light snaps, coffee cup sound"", ""genre"": ""jazz"", ""feel"": ""energetic, bright, positive, cozy""}",1,"{'mode': 1.0, 'tempo': 1.0, 'instruments': 0.30042735042735047, 'genre': 0.0375, 'feel': 0.23125}",0
11,东京夜景的旅行 Vlog，需要夜晚 chill 的感觉。,"{""key"": ""A minor"", ""mode"": ""minor"", ""tempo"": ""85bpm"", ""instruments"": ""lo-fi electric piano, muffled drum beat, synth pad, vinyl crackle"", ""genre"": ""lo-fi hip hop"", ""feel"": ""urban, chill, nighttime, stylish""}","{'key': 'A minor', 'mode': 'minor', 'tempo': '85bpm', 'instruments': 'lo-fi electric piano, muffled drum beat, synth pad, vinyl crackle', 'genre': 'lo-fi hip hop', 'feel': 'chill, nighttime, stylish, calm'}","{""key"": ""A minor"", ""mode"": ""minor"", ""tempo"": ""85bpm"", ""instruments"": ""lo-fi electric piano, muffled drum beat, synth pad, vinyl crackle"", ""genre"": ""lo-fi hip hop"", ""feel"": ""chill, nighttime, stylish, calm""}",1,"{'key': 1.0, 'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 0.6580952380952381}",1
12,健身房锻炼，需要有活力的BGM。,"{""mode"": ""minor"", ""tempo"": ""125bpm"", ""instruments"": ""synth bass, strong electronic drums, aggressive synth lead"", ""genre"": ""EDM"", ""feel"": ""energetic, motivational, powerful""}","{'key': 'E minor', 'mode': 'minor', 'tempo': '125bpm', 'instruments': 'synth bass, strong electronic drums, aggressive synth lead', 'genre': 'EDM', 'feel': 'energetic, motivational, powerful'}","{""key"": ""E minor"", ""mode"": ""minor"", ""tempo"": ""125bpm"", ""instruments"": ""synth bass, strong electronic drums, aggressive synth lead"", ""genre"": ""EDM"", ""feel"": ""energetic, motivational, powerful""}",1,"{'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
13,美食Vlog，展示食物特写。,"{""mode"": ""major"", ""tempo"": ""100bpm"", ""instruments"": ""upright bass, jazz piano, brushed drums, light saxophone"", ""genre"": ""jazz"", ""feel"": ""playful, happy, delicious""}","{'key': 'C Major', 'mode': 'major', 'tempo': '100bpm', 'instruments': 'upright bass, jazz piano, brushed drums, light saxophone', 'genre': 'jazz', 'feel': 'playful, happy, delicious'}","{""key"": ""C Major"", ""mode"": ""major"", ""tempo"": ""100bpm"", ""instruments"": ""upright bass, jazz piano, brushed drums, light saxophone"", ""genre"": ""jazz"", ""feel"": ""playful, happy, delicious""}",1,"{'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 1.0}",1
14,真实犯罪播客，氛围要紧张且专业。,"{""mode"": ""minor"", ""tempo"": ""80bpm"", ""instruments"": ""low synth drone, distant piano, sparse percussion"", ""genre"": ""dark ambient"", ""feel"": ""suspenseful, mysterious, investigative""}","{'key': 'E minor', 'mode': 'minor', 'tempo': '80bpm', 'instruments': 'low synth drone, distant piano, sparse percussion', 'genre': 'dark ambient', 'feel': 'tense, serious, professional, dark'}","{""key"": ""E minor"", ""mode"": ""minor"", ""tempo"": ""80bpm"", ""instruments"": ""low synth drone, distant piano, sparse percussion"", ""genre"": ""dark ambient"", ""feel"": ""tense, serious, professional, dark""}",1,"{'mode': 1.0, 'tempo': 1.0, 'instruments': 1.0, 'genre': 1.0, 'feel': 0.15833333333333333}",0
